term,definition
A/B testing,"A statistical way of comparing two (or more) techniques, typically an incumbentagainst a new rival. A/B testing aims to determine not only which techniqueperforms better but also to understand whether the difference isstatistically significant. A/B testing usually considers only two techniquesusing one measurement, but it can be applied to any finite number of techniquesand measures."
accuracy,The fraction of predictions that aclassification model got right. 
action,"In reinforcement learning, the mechanism by which the agenttransitions between states of theenvironment. The agent chooses the action by using apolicy."
activation function,"A function (for example, ReLU or sigmoid)that takes in the weighted sum of all of the inputs from the previous layerand then generates and passes an output value (typically nonlinear) to the nextlayer."
active learning,"A training approach in which thealgorithm chooses some of the data it learns from. Active learningis particularly valuable when labeled examplesare scarce or expensive to obtain. Instead of blindly seeking a diverserange of labeled examples, an active learning algorithm selectively seeksthe particular range of examples it needs for learning."
AdaGrad,"A sophisticated gradient descent algorithm that rescales thegradients of each parameter, effectively giving each parameteran independent learning rate. For a full explanation, seethis paper."
agent,"In reinforcement learning, the entity that uses a policyto maximize expected return gained from transitioningbetween states of the  environment."
agglomerative clustering,See hierarchical clustering.
AR,Abbreviation for augmented reality.
artificial general intelligence,"A non-human mechanism that demonstrates a broad range of problem solving,creativity, and adaptability. For example, a program demonstrating artificialgeneral intelligence could translate text, compose symphonies, and excel atgames that have not yet been invented."
artificial intelligence,"A non-human program or model that can solve sophisticated tasks. For example,a program or model that translates text or a program or model that identifiesdiseases from radiologic images both exhibit artificial intelligence."
attribute,"Synonym for feature. In fairness, attributes often refer tocharacteristics pertaining to individuals."
AUC (Area under the ROC Curve),An evaluation metric that considers all possibleclassification thresholds.
augmented reality,"A technology that superimposes a computer-generated image on a user's view ofthe real world, thus providing a composite view."
automation bias,"When a human decision maker favors recommendations made by an automateddecision-making system over information made without automation, evenwhen the automated decision-making system makes errors."
average precision,A metric for summarizing the performance of a ranked sequence of results.Average precision is calculated by taking the average of theprecision values for each relevant result (each result inthe ranked list where the recall increases relative to the previous result).
backpropagation,"The primary algorithm for performinggradient descent onneural networks. First, the output valuesof each node are calculated (and cached) in a forward pass.Then, the partial derivativeof the error with respect to each parameter is calculated in a backwardpass through the graph."
bag of words,"A representation of the words in a phrase or passage,irrespective of order. "
baseline,"A model used as a reference point for comparing how well anothermodel (typically, a more complex one) is performing. For example, alogistic regression model might serve as agood baseline for a deep model."
batch,"The set of examples used in one iteration (that is, onegradient update) ofmodel training."
batch normalization,Normalizing the input or output of theactivation functions in ahidden layer.
batch size,"The number of examples in a batch. For example, the batch sizeof SGD is 1, while the batch size ofa mini-batch is usually between 10 and 1000. Batch size isusually fixed during training and inference;however, TensorFlow does permit dynamic batch sizes."
Bayesian neural network,"A probabilistic neural network that accounts foruncertainty in weights and outputs. A standard neural networkregression model typically predicts a scalar value;for example, a model predicts a house priceof 853,000. By contrast, a Bayesian neural network predicts a distribution ofvalues; for example, a model predicts a house price of 853,000 with a standarddeviation of 67,200. A Bayesian neural network relies onBayes' Theoremto calculate uncertainties in weights and predictions. A Bayesian neuralnetwork can be useful when it is important to quantify uncertainty, such as inmodels related to pharmaceuticals. Bayesian neural networks can also helpprevent overfitting."
bias (ethics/fairness),"1. Stereotyping, prejudice or favoritism towards some things, people,or groups over others. These biases can affect collection andinterpretation of data, the design of a system, and how users interactwith a system.  2. Systematic error introduced by a sampling or reporting procedure."
bias (math),An intercept or offset from an origin. Bias (also known as the bias term) is referred to as b or w0 in machine learning models. 
bigram,An N-gram in which N=2.
binary classification,"A type of classification task that outputs oneof two mutually exclusive classes. For example, a machinelearning model that evaluates email messages and outputs either ""spam"" or""not spam"" is a binary classifier."
boosting,A machine learning technique that iteratively combines a set of simple andnot very accurate classifiers (referred to as "weak" classifiers) into aclassifier with high accuracy (a "strong" classifier) byupweighting the examples that the model is currentlymisclassfying.
bounding box,"In an image, the (x, y) coordinates of a rectangle around an area ofinterest."
broadcasting,"Expanding the shape of an operand in a matrix math operation todimensions compatible for that operation. For instance,linear algebra requires that the two operands in a matrix addition operationmust have the same dimensions. Consequently, you can't add a matrix of shape(m, n) to a vector of length n. Broadcasting enables this operation byvirtually expanding the vector of length n to a matrix of shape (m,n) byreplicating the same values down each column."
bucketing,"Converting a (usually continuous) feature intomultiple binary features called buckets or bins, typically based on valuerange. For example, instead of representing temperature as a singlecontinuous floating-point feature, you could chop ranges of temperaturesinto discrete bins. Given temperature data sensitive to a tenth of a degree,all temperatures between 0.0 and 15.0 degrees could be put into one bin,15.1 to 30.0 degrees could be a second bin, and 30.1 to 50.0 degrees couldbe a third bin."
calibration layer,"A post-prediction adjustment, typically to account forprediction bias. The adjusted predictions andprobabilities should match the distribution of an observed set of labels."
candidate generation,"The initial set of recommendations chosen by a recommendation system. Forexample, consider a bookstore that offers 100,000 titles. The candidategeneration phase creates a much smaller list of suitable books for aparticular user, say 500. But even 500 books is way too many to recommendto a user. Subsequent, more expensive, phases of a recommendation system(such as scoring and re-ranking) whittledown those 500 to a much smaller, more useful set of recommendations."
